
		 0.860	 0.625	 0.645	 1.202	 1.395	 2.847	 0.001	 0.541	 0.115	 0.812	 0.337	 0.054	 0.042	 0.000	 0.534	 0.270	 0.001	

		 0.943	 0.612	 0.641	 1.045	 2.027	 10.225	 0.001	 0.558	 0.128	 0.890	 0.220	 0.061	 0.060	 0.000	 0.454	 0.172	 0.001	

		 1.405	 0.676	 0.700	 0.898	 3.949	 20.491	 0.001	 0.489	 0.142	 1.308	 0.157	 0.064	 0.068	 0.000	 0.373	 0.137	 0.000	

		 1.502	 0.657	 0.665	 0.824	 4.533	 24.716	 0.001	 0.492	 0.145	 1.389	 0.124	 0.071	 0.082	 0.000	 0.336	 0.116	 0.000	

		 1.366	 0.639	 0.638	 0.860	 4.107	 24.990	 0.000	 0.512	 0.153	 1.257	 0.111	 0.082	 0.096	 0.000	 0.315	 0.107	 0.000	

		 1.285	 0.629	 0.622	 0.881	 3.911	 24.773	 0.000	 0.515	 0.159	 1.186	 0.099	 0.091	 0.104	 0.000	 0.309	 0.102	 0.000	

		 1.240	 0.701	 0.661	 0.900	 3.874	 26.976	 0.000	 0.512	 0.161	 1.153	 0.088	 0.098	 0.108	 0.000	 0.299	 0.095	 0.000	

		 1.152	 0.703	 0.654	 0.907	 3.615	 29.261	 0.000	 0.472	 0.157	 1.074	 0.081	 0.098	 0.105	 0.000	 0.283	 0.089	 0.000	

		 1.195	 0.724	 0.674	 0.931	 3.984	 31.662	 0.000	 0.449	 0.153	 1.114	 0.072	 0.097	 0.102	 0.000	 0.267	 0.082	 0.000	

		 1.175	 0.751	 0.685	 0.929	 3.930	 32.335	 0.000	 0.425	 0.150	 1.101	 0.070	 0.098	 0.101	 0.000	 0.255	 0.078	 0.000	

		 1.219	 0.810	 0.720	 0.919	 4.108	 35.617	 0.000	 0.407	 0.149	 1.148	 0.064	 0.102	 0.101	 0.000	 0.242	 0.074	 0.000	

		 1.236	 0.798	 0.721	 0.923	 4.885	 36.625	 0.000	 0.402	 0.149	 1.164	 0.060	 0.103	 0.101	 0.000	 0.232	 0.072	 0.000	

		 1.225	 0.791	 0.720	 0.943	 4.777	 37.788	 0.000	 0.391	 0.147	 1.152	 0.061	 0.104	 0.100	 0.000	 0.228	 0.074	 0.000	

		 1.189	 0.770	 0.705	 0.913	 4.878	 40.808	 0.000	 0.382	 0.146	 1.118	 0.057	 0.106	 0.101	 0.000	 0.222	 0.071	 0.000	

		 1.163	 0.756	 0.697	 0.919	 5.070	 44.357	 0.000	 0.376	 0.147	 1.099	 0.053	 0.108	 0.103	 0.000	 0.213	 0.068	 0.000	

		 1.163	 0.757	 0.700	 0.931	 5.335	 50.791	 0.000	 0.373	 0.148	 1.102	 0.050	 0.109	 0.104	 0.000	 0.204	 0.065	 0.000	

		 1.273	 0.855	 0.779	 0.948	 6.173	 52.125	 0.000	 0.370	 0.149	 1.217	 0.047	 0.109	 0.104	 0.000	 0.197	 0.064	 0.000	

		 1.281	 0.860	 0.786	 1.005	 6.302	 52.364	 0.000	 0.364	 0.150	 1.222	 0.053	 0.111	 0.104	 0.000	 0.196	 0.069	 0.000	

		 1.264	 0.864	 0.783	 0.992	 6.161	 53.612	 0.000	 0.362	 0.152	 1.207	 0.050	 0.113	 0.106	 0.000	 0.189	 0.067	 0.000	

		 1.246	 0.855	 0.774	 0.969	 6.131	 60.463	 0.000	 0.363	 0.154	 1.191	 0.048	 0.118	 0.112	 0.000	 0.183	 0.064	 0.000	

		 1.232	 0.853	 0.769	 0.959	 6.018	 66.143	 0.000	 0.362	 0.154	 1.176	 0.046	 0.122	 0.116	 0.000	 0.178	 0.063	 0.000	

		 1.256	 0.878	 0.788	 0.965	 6.340	 69.489	 0.000	 0.363	 0.155	 1.196	 0.044	 0.126	 0.118	 0.000	 0.173	 0.061	 0.000	

		 1.277	 0.876	 0.784	 0.957	 6.291	 69.469	 0.000	 0.359	 0.155	 1.217	 0.042	 0.126	 0.119	 0.000	 0.168	 0.060	 0.000	

		 1.263	 0.879	 0.781	 0.957	 6.122	 74.936	 0.000	 0.361	 0.156	 1.206	 0.040	 0.129	 0.120	 0.000	 0.164	 0.058	 0.000	

		 1.264	 0.890	 0.788	 0.950	 6.107	 74.228	 0.000	 0.363	 0.157	 1.207	 0.038	 0.130	 0.121	 0.000	 0.160	 0.057	 0.000	

		 1.238	 0.870	 0.774	 0.929	 5.940	 81.515	 0.000	 0.361	 0.155	 1.182	 0.037	 0.132	 0.122	 0.000	 0.157	 0.055	 0.000	

		 1.217	 0.855	 0.761	 0.912	 5.849	 82.613	 0.000	 0.358	 0.155	 1.162	 0.036	 0.132	 0.122	 0.000	 0.153	 0.054	 0.000	

		 1.191	 0.838	 0.746	 0.892	 5.711	 86.338	 0.000	 0.355	 0.154	 1.136	 0.035	 0.138	 0.123	 0.000	 0.149	 0.054	 0.000	

		 1.163	 0.821	 0.730	 0.872	 5.577	 87.566	 0.000	 0.352	 0.153	 1.111	 0.033	 0.140	 0.124	 0.000	 0.145	 0.053	 0.000	

		 1.173	 0.816	 0.727	 0.869	 5.528	 92.557	 0.000	 0.352	 0.153	 1.119	 0.033	 0.147	 0.125	 0.000	 0.143	 0.053	 0.000	

		 1.153	 0.799	 0.714	 0.853	 5.437	 92.969	 0.000	 0.350	 0.151	 1.100	 0.031	 0.147	 0.125	 0.000	 0.139	 0.052	 0.000	

		 1.134	 0.785	 0.701	 0.836	 5.340	 93.172	 0.000	 0.345	 0.151	 1.082	 0.031	 0.148	 0.126	 0.000	 0.137	 0.051	 0.000	
