		 0.824	 0.824	 0.843	 0.804	 0.784	 0.784	 0.765	 0.765	 0.843	 0.784	 0.863	 0.804	 0.765	 0.765	 0.765	 0.843	 0.784	

		 0.848	 0.848	 0.861	 0.815	 0.828	 0.828	 0.775	 0.768	 0.834	 0.828	 0.874	 0.781	 0.768	 0.768	 0.768	 0.841	 0.795	

		 0.837	 0.837	 0.845	 0.829	 0.821	 0.821	 0.821	 0.821	 0.857	 0.809	 0.857	 0.829	 0.821	 0.821	 0.821	 0.873	 0.833	

		 0.823	 0.823	 0.826	 0.821	 0.823	 0.823	 0.823	 0.815	 0.863	 0.786	 0.840	 0.829	 0.823	 0.809	 0.821	 0.877	 0.835	

		 0.805	 0.805	 0.807	 0.796	 0.820	 0.820	 0.803	 0.783	 0.838	 0.792	 0.845	 0.803	 0.794	 0.763	 0.792	 0.858	 0.814	

		 0.797	 0.797	 0.797	 0.773	 0.811	 0.811	 0.789	 0.760	 0.824	 0.779	 0.842	 0.779	 0.770	 0.735	 0.768	 0.855	 0.800	

		 0.788	 0.788	 0.786	 0.774	 0.808	 0.808	 0.779	 0.737	 0.806	 0.768	 0.828	 0.740	 0.731	 0.693	 0.730	 0.845	 0.790	

		 0.799	 0.799	 0.796	 0.786	 0.814	 0.814	 0.790	 0.732	 0.814	 0.779	 0.831	 0.734	 0.731	 0.671	 0.710	 0.843	 0.798	

		 0.803	 0.803	 0.798	 0.784	 0.808	 0.808	 0.794	 0.732	 0.816	 0.779	 0.843	 0.733	 0.731	 0.658	 0.692	 0.845	 0.801	

		 0.803	 0.803	 0.797	 0.785	 0.815	 0.815	 0.796	 0.740	 0.824	 0.782	 0.838	 0.731	 0.729	 0.644	 0.678	 0.853	 0.802	

		 0.799	 0.799	 0.790	 0.789	 0.805	 0.805	 0.800	 0.737	 0.830	 0.772	 0.843	 0.734	 0.732	 0.639	 0.676	 0.858	 0.804	

		 0.794	 0.794	 0.783	 0.789	 0.803	 0.803	 0.802	 0.730	 0.829	 0.769	 0.839	 0.730	 0.730	 0.628	 0.665	 0.857	 0.808	

		 0.794	 0.794	 0.784	 0.790	 0.801	 0.801	 0.801	 0.732	 0.834	 0.771	 0.843	 0.736	 0.738	 0.624	 0.665	 0.859	 0.811	

		 0.800	 0.800	 0.791	 0.793	 0.802	 0.802	 0.806	 0.738	 0.838	 0.777	 0.844	 0.744	 0.747	 0.622	 0.668	 0.862	 0.814	

		 0.804	 0.804	 0.797	 0.794	 0.805	 0.805	 0.806	 0.737	 0.837	 0.783	 0.841	 0.743	 0.748	 0.607	 0.663	 0.860	 0.815	

		 0.805	 0.805	 0.799	 0.794	 0.803	 0.803	 0.807	 0.738	 0.836	 0.786	 0.839	 0.741	 0.749	 0.586	 0.658	 0.858	 0.816	

		 0.802	 0.802	 0.795	 0.793	 0.800	 0.800	 0.804	 0.737	 0.837	 0.784	 0.833	 0.745	 0.752	 0.587	 0.660	 0.857	 0.815	

		 0.800	 0.800	 0.794	 0.794	 0.798	 0.798	 0.805	 0.741	 0.837	 0.783	 0.834	 0.745	 0.753	 0.584	 0.656	 0.856	 0.816	

		 0.800	 0.800	 0.794	 0.794	 0.798	 0.798	 0.806	 0.743	 0.835	 0.783	 0.833	 0.747	 0.754	 0.576	 0.654	 0.854	 0.816	

		 0.803	 0.803	 0.798	 0.794	 0.803	 0.803	 0.805	 0.741	 0.834	 0.788	 0.835	 0.748	 0.753	 0.567	 0.658	 0.851	 0.814	

		 0.807	 0.807	 0.802	 0.796	 0.807	 0.807	 0.805	 0.746	 0.836	 0.793	 0.836	 0.753	 0.758	 0.567	 0.666	 0.853	 0.815	

		 0.810	 0.810	 0.806	 0.798	 0.808	 0.808	 0.808	 0.748	 0.838	 0.796	 0.836	 0.758	 0.762	 0.565	 0.672	 0.855	 0.817	

		 0.813	 0.813	 0.809	 0.799	 0.808	 0.808	 0.813	 0.752	 0.841	 0.796	 0.835	 0.765	 0.769	 0.566	 0.680	 0.857	 0.821	

		 0.811	 0.811	 0.807	 0.798	 0.811	 0.811	 0.811	 0.750	 0.838	 0.795	 0.835	 0.766	 0.769	 0.562	 0.683	 0.858	 0.818	

		 0.811	 0.811	 0.806	 0.799	 0.812	 0.812	 0.812	 0.748	 0.839	 0.795	 0.835	 0.767	 0.770	 0.562	 0.685	 0.860	 0.819	

		 0.813	 0.813	 0.807	 0.801	 0.814	 0.814	 0.816	 0.752	 0.844	 0.797	 0.838	 0.773	 0.775	 0.563	 0.692	 0.864	 0.824	

		 0.816	 0.816	 0.809	 0.804	 0.817	 0.817	 0.817	 0.754	 0.846	 0.800	 0.840	 0.777	 0.779	 0.556	 0.698	 0.865	 0.826	

		 0.819	 0.819	 0.814	 0.808	 0.822	 0.822	 0.820	 0.759	 0.848	 0.804	 0.844	 0.782	 0.783	 0.549	 0.703	 0.870	 0.830	

		 0.823	 0.823	 0.818	 0.812	 0.826	 0.826	 0.825	 0.761	 0.851	 0.810	 0.847	 0.787	 0.789	 0.545	 0.708	 0.874	 0.835	

		 0.825	 0.825	 0.820	 0.815	 0.827	 0.827	 0.829	 0.765	 0.855	 0.810	 0.848	 0.793	 0.795	 0.536	 0.713	 0.877	 0.839	

		 0.828	 0.828	 0.823	 0.818	 0.828	 0.828	 0.833	 0.768	 0.858	 0.813	 0.851	 0.797	 0.800	 0.531	 0.717	 0.879	 0.842	

		 0.830	 0.830	 0.825	 0.822	 0.828	 0.828	 0.836	 0.772	 0.860	 0.813	 0.853	 0.802	 0.805	 0.532	 0.722	 0.882	 0.846	

